ein,name,city,state,country,organization type,strein,guidestar_url,asset_amount,income_amount,revenue_amount
941684694,USA Water Ski Foundation Inc.,Winter Haven,FL,United States,PC,94-1684694,https://www.guidestar.org/profile/94-1684694,0.0,0.0,0.0
202791335,Igreja Do Avivamento Mundial Em Danbury Inc.,Danbury,CT,United States,PC,20-2791335,https://www.guidestar.org/profile/20-2791335,0.0,0.0,0.0
274536105,Freedom House Transitional Programs,Lafayette,LA,United States,PC,27-4536105,https://www.guidestar.org/profile/27-4536105,0.0,0.0,0.0
954893358,Guyanese Nurses Associations of America Inc.,Brooklyn,NY,United States,PC,95-4893358,https://www.guidestar.org/profile/95-4893358,0.0,0.0,0.0
237345511,Cambrian Park Little League of San Jose California,San Jose,CA,United States,PC,23-7345511,https://www.guidestar.org/profile/23-7345511,0.0,0.0,0.0
30550508,Hazy Institution of Learning,Oak Park,MI,United States,PC,03-0550508,https://www.guidestar.org/profile/03-0550508,0.0,0.0,0.0
270910664,Vindonah Horse Shelter,Beaver Dams,NY,United States,PC,27-0910664,https://www.guidestar.org/profile/27-0910664,0.0,0.0,0.0
462268732,Mobile Hope,Corcoran,MN,United States,PC,46-2268732,https://www.guidestar.org/profile/46-2268732,0.0,0.0,0.0
822367837,Reality U Nj,Dayton,NJ,United States,PC,82-2367837,https://www.guidestar.org/profile/82-2367837,0.0,0.0,0.0
851358712,Vita Nova Agency,Goleta,CA,United States,PC,85-1358712,https://www.guidestar.org/profile/85-1358712,0.0,0.0,0.0
800076928,Companions of France Inc.,New York,NY,United States,PC,80-0076928,https://www.guidestar.org/profile/80-0076928,0.0,0.0,0.0
141369329,Woodstock Artists Association Inc.,Woodstock,NY,United States,PC,14-1369329,https://www.guidestar.org/profile/14-1369329,0.0,0.0,0.0
562005832,Wake Canine Search and Rescue Inc.,Raleigh,NC,United States,PC,56-2005832,https://www.guidestar.org/profile/56-2005832,0.0,0.0,0.0
475575994,Facing Project Gives Inc.,Muncie,IN,United States,PC,47-5575994,https://www.guidestar.org/profile/47-5575994,0.0,0.0,0.0
814729185,Remos Rescue,Carthage,MS,United States,PC,81-4729185,https://www.guidestar.org/profile/81-4729185,0.0,0.0,0.0
561567586,Camp Cherith in the Carolinas Inc.,Harvest,AL,United States,PC,56-1567586,https://www.guidestar.org/profile/56-1567586,0.0,0.0,0.0
462583466,Wags Across Texas Charity,San Antonio,TX,United States,PC,46-2583466,https://www.guidestar.org/profile/46-2583466,0.0,0.0,0.0
381646646,Coldwater Pre-School Nursery Inc.,Coldwater,MI,United States,PC,38-1646646,https://www.guidestar.org/profile/38-1646646,0.0,0.0,0.0
383807057,Fetch Foundation Inc.,Scottsdale,AZ,United States,PC,38-3807057,https://www.guidestar.org/profile/38-3807057,0.0,0.0,0.0
270054108,Hanamana Healing Center,Kapaa,HI,United States,PC,27-0054108,https://www.guidestar.org/profile/27-0054108,0.0,0.0,0.0
461057428,Golden Isles Leadership Foundation Inc.,Brunswick,GA,United States,PC,46-1057428,https://www.guidestar.org/profile/46-1057428,0.0,0.0,0.0
840561224,Midwestern Colorado Mental Health Center Inc.,Montrose,CO,United States,PC,84-0561224,https://www.guidestar.org/profile/84-0561224,0.0,0.0,0.0
830461664,Ocala Soap Box Derby Inc.,Ocala,FL,United States,PC,83-0461664,https://www.guidestar.org/profile/83-0461664,0.0,0.0,0.0
834527374,Arizona Orthopedic and Sports Medicine Research and Education Fo,Phoenix,AZ,United States,PC,83-4527374,https://www.guidestar.org/profile/83-4527374,0.0,0.0,0.0
800798720,Alaska Herpetological Society,Eagle River,AK,United States,PC,80-0798720,https://www.guidestar.org/profile/80-0798720,0.0,0.0,0.0
810959505,American Legion Riders of Helderberg Post 977 Altamont Ny,Altamont,NY,United States,PC,81-0959505,https://www.guidestar.org/profile/81-0959505,0.0,0.0,0.0
844226696,Friends of Whim Music Community Charter School Inc.,New York,NY,United States,PC,84-4226696,https://www.guidestar.org/profile/84-4226696,0.0,0.0,0.0
541635676,Gloucester Housing Partnership,Gloucester,VA,United States,PC,54-1635676,https://www.guidestar.org/profile/54-1635676,0.0,0.0,0.0
272651854,Berlin Volunteer Fire Company Inc.,Berlin,NY,United States,PC,27-2651854,https://www.guidestar.org/profile/27-2651854,0.0,0.0,0.0
813816540,Tarpon Springs Community Gardens Inc.,Tarpon Spgs,FL,United States,PC,81-3816540,https://www.guidestar.org/profile/81-3816540,0.0,0.0,0.0
237029864,Saramana Bible Center Inc.,Sarasota,FL,United States,PC,23-7029864,https://www.guidestar.org/profile/23-7029864,0.0,0.0,0.0
834320586,Living Hope Foundation Inc.,Spring,TX,United States,PC,83-4320586,https://www.guidestar.org/profile/83-4320586,0.0,0.0,0.0
571028954,McGill Institute,Piedmont,SC,United States,PC,57-1028954,https://www.guidestar.org/profile/57-1028954,0.0,0.0,0.0
466548416,The Giorgio Foundation,Duncansville,PA,United States,PC,46-6548416,https://www.guidestar.org/profile/46-6548416,0.0,0.0,0.0
261789005,Opera Illinois League,Peoria,IL,United States,PC,26-1789005,https://www.guidestar.org/profile/26-1789005,0.0,0.0,0.0
910786790,Northwest Center,Seattle,WA,United States,PC,91-0786790,https://www.guidestar.org/profile/91-0786790,0.0,0.0,0.0
510212006,Madranite Circles Church,Oshkosh,WI,United States,PC,51-0212006,https://www.guidestar.org/profile/51-0212006,0.0,0.0,0.0
833408272,Grandma Speak Inc.,Decatur,GA,United States,PC,83-3408272,https://www.guidestar.org/profile/83-3408272,0.0,0.0,0.0
472116734,Advancing Health After Hysterectomy Foundation,Woodbridge,CT,United States,PC,47-2116734,https://www.guidestar.org/profile/47-2116734,0.0,0.0,0.0
832722465,California Welcome Initiative,Santa Ynez,CA,United States,PC,83-2722465,https://www.guidestar.org/profile/83-2722465,0.0,0.0,0.0
208264035,Bethsaida Senior Living Inc.,Garden Grove,CA,United States,PC,20-8264035,https://www.guidestar.org/profile/20-8264035,0.0,0.0,0.0
834139440,Music for All,Sacramento,CA,United States,PC,83-4139440,https://www.guidestar.org/profile/83-4139440,0.0,0.0,0.0
261481992,Templo Internacional De Restauracion,Levittown,PA,United States,PC,26-1481992,https://www.guidestar.org/profile/26-1481992,0.0,0.0,0.0
261119980,African-American Repertory Theater,Dallas,TX,United States,PC,26-1119980,https://www.guidestar.org/profile/26-1119980,0.0,0.0,0.0
205987163,Cedar Oaks Equine Rescue,Casa Grande,AZ,United States,PC,20-5987163,https://www.guidestar.org/profile/20-5987163,0.0,0.0,0.0
942357011,Apostolic Mininstries Inc.,Carmel,CA,United States,PC,94-2357011,https://www.guidestar.org/profile/94-2357011,0.0,0.0,0.0
271280343,Sterny Way Foundation,Libertyville,IL,United States,PC,27-1280343,https://www.guidestar.org/profile/27-1280343,0.0,0.0,0.0
383317616,International Society of Travel & Tourism Educators,St. Clr Shores,MI,United States,PC,38-3317616,https://www.guidestar.org/profile/38-3317616,0.0,0.0,0.0
843572608,Supporting Area Families Everyday,Canton,PA,United States,PC,84-3572608,https://www.guidestar.org/profile/84-3572608,0.0,0.0,0.0
203560363,Alliance for Career and Education Inc.,Catonsville,MD,United States,PC,20-3560363,https://www.guidestar.org/profile/20-3560363,0.0,0.0,0.0
112771057,Culinary Historians of New York,New York,NY,United States,PC,11-2771057,https://www.guidestar.org/profile/11-2771057,0.0,0.0,0.0
371498582,Waste-Not-Want-Not Inc.,New York,NY,United States,PC,37-1498582,https://www.guidestar.org/profile/37-1498582,0.0,0.0,0.0
471211175,Athletes Against Bullying A Nj Nonprofit Corporation,Toms River,NJ,United States,PC,47-1211175,https://www.guidestar.org/profile/47-1211175,0.0,0.0,0.0
813460116,Harbor Lites Seniors,Wilmington,CA,United States,PC,81-3460116,https://www.guidestar.org/profile/81-3460116,0.0,0.0,0.0
473211215,Saira Hospitality Inc.,Brooklyn,NY,United States,PC,47-3211215,https://www.guidestar.org/profile/47-3211215,0.0,0.0,0.0
851289575,Wolf Pack Lp Athletics,Walker,LA,United States,PC,85-1289575,https://www.guidestar.org/profile/85-1289575,0.0,0.0,0.0
815284675,Lavender Haven,Kelso,WA,United States,PC,81-5284675,https://www.guidestar.org/profile/81-5284675,0.0,0.0,0.0
473993652,Gems of Madagascar,Mead,CO,United States,PC,47-3993652,https://www.guidestar.org/profile/47-3993652,0.0,0.0,0.0
833051593,Louis Shing Foundation Inc.,Brooklyn,NY,United States,PC,83-3051593,https://www.guidestar.org/profile/83-3051593,0.0,0.0,0.0
474844902,Black Burdell Incorporated,Atlanta,GA,United States,PC,47-4844902,https://www.guidestar.org/profile/47-4844902,0.0,0.0,0.0
770702875,Moberly Greyhound Booster Club Inc.,Moberly,MO,United States,PC,77-0702875,https://www.guidestar.org/profile/77-0702875,0.0,0.0,0.0
450552018,Kentucky American Indian Resource & Community Center Inc.,Louisville,KY,United States,PC,45-0552018,https://www.guidestar.org/profile/45-0552018,0.0,0.0,0.0
832045043,Praxis Church Inc.,Cary,NC,United States,PC,83-2045043,https://www.guidestar.org/profile/83-2045043,0.0,0.0,0.0
474696006,Koenigs Conservation Association,Sheboygan Fls,WI,United States,PC,47-4696006,https://www.guidestar.org/profile/47-4696006,0.0,0.0,0.0
844137953,Omega Community Development Corporation,Lincoln Park,MI,United States,PC,84-4137953,https://www.guidestar.org/profile/84-4137953,0.0,0.0,0.0
821504842,Hays-Welch Foundation Inc.,Seminole,FL,United States,PC,82-1504842,https://www.guidestar.org/profile/82-1504842,0.0,0.0,0.0
831024548,Cedar Ridge Distribution Company,Deweyville,UT,United States,PC,83-1024548,https://www.guidestar.org/profile/83-1024548,0.0,0.0,0.0
821960269,Alpena Blue Line Club,Alpena,MI,United States,PC,82-1960269,https://www.guidestar.org/profile/82-1960269,0.0,0.0,0.0
450408917,Cavalier Ambulance Service Inc.,Cavalier,ND,United States,PC,45-0408917,https://www.guidestar.org/profile/45-0408917,0.0,0.0,0.0
371387956,New Beginning Out Reach Ministries Inc.,Troy,IL,United States,PC,37-1387956,https://www.guidestar.org/profile/37-1387956,0.0,0.0,0.0
363900221,Leslie Shankman School Corporation,Chicago,IL,United States,PC,36-3900221,https://www.guidestar.org/profile/36-3900221,0.0,0.0,0.0
30363081,Quechee Alpine Ski Club Inc.,Quechee,VT,United States,PC,03-0363081,https://www.guidestar.org/profile/03-0363081,0.0,0.0,0.0
263583833,Rosey Foundation,Walnut Creek,CA,United States,PC,26-3583833,https://www.guidestar.org/profile/26-3583833,0.0,0.0,0.0
454257276,Lt KC Abraham Ina Foundation Inc.,Middle Island,NY,United States,PC,45-4257276,https://www.guidestar.org/profile/45-4257276,0.0,0.0,0.0
521839025,Navajo United Methodist Center,Farmington,NM,United States,PC,52-1839025,https://www.guidestar.org/profile/52-1839025,0.0,0.0,0.0
263448855,Wilson Youth Basketball Association,Tigard,OR,United States,PC,26-3448855,https://www.guidestar.org/profile/26-3448855,0.0,0.0,0.0
481207017,Jefferson Co Fire District No 4,Mc louth,KS,United States,PC,48-1207017,https://www.guidestar.org/profile/48-1207017,0.0,0.0,0.0
640468881,East Central Planning & Development District Inc'410 Decatur St.,Newton,MS,United States,PC,64-0468881,https://www.guidestar.org/profile/64-0468881,0.0,0.0,0.0
752722874,Coppell High School Volleyball Booster Club,Coppell,TX,United States,PC,75-2722874,https://www.guidestar.org/profile/75-2722874,0.0,0.0,0.0
760682232,Learning Institute of Texas,Houston,TX,United States,PC,76-0682232,https://www.guidestar.org/profile/76-0682232,0.0,0.0,0.0
770240414,Rainbow Valley Group Home Inc.,Merced,CA,United States,PC,77-0240414,https://www.guidestar.org/profile/77-0240414,0.0,0.0,0.0
222757361,Choose Life of Jamestown Inc.,Jamestown,NY,United States,PC,22-2757361,https://www.guidestar.org/profile/22-2757361,0.0,0.0,0.0
571209795,Iglesia Pentecostal Los Del Camino Inc.,Kissimme,FL,United States,PC,57-1209795,https://www.guidestar.org/profile/57-1209795,0.0,0.0,0.0
941502014,Southern Monterey County Memorial Hospital,King City,CA,United States,PC,94-1502014,https://www.guidestar.org/profile/94-1502014,0.0,0.0,0.0
474912306,Solid Recovery Inc.,Santa Rosa,CA,United States,PC,47-4912306,https://www.guidestar.org/profile/47-4912306,0.0,0.0,0.0
830905106,Custuds Inc.,Jonesboro,GA,United States,PC,83-0905106,https://www.guidestar.org/profile/83-0905106,0.0,0.0,0.0
310939757,Seven Counties Services Inc.,Louisville,KY,United States,PC,31-0939757,https://www.guidestar.org/profile/31-0939757,0.0,0.0,0.0
260285668,Rock of Salvation World Christianship Ministries,Peoria,IL,United States,PC,26-0285668,https://www.guidestar.org/profile/26-0285668,0.0,0.0,0.0
311281814,Arcanum Community Rescue Squad Inc.,Arcanum,OH,United States,PC,31-1281814,https://www.guidestar.org/profile/31-1281814,0.0,0.0,0.0
542190713,First Evangelical Haitian Church Inc.,Silver Spring,MD,United States,PC,54-2190713,https://www.guidestar.org/profile/54-2190713,0.0,0.0,0.0
710395794,Arkadelphia Wesley Foundation of United Methodist Church,Arkadelphia,AR,United States,PC,71-0395794,https://www.guidestar.org/profile/71-0395794,0.0,0.0,0.0
464916494,York County Advanced Technical Rescue Team,Yoe,PA,United States,PC,46-4916494,https://www.guidestar.org/profile/46-4916494,0.0,0.0,0.0
363940738,The Center for Womens History and Leadership,Evanston,IL,United States,PC,36-3940738,https://www.guidestar.org/profile/36-3940738,0.0,0.0,0.0
237147797,Best Friends Animal Society,Kanab,UT,United States,PC,23-7147797,https://www.guidestar.org/profile/23-7147797,0.0,0.0,0.0
274725908,Ms Project Package,Southaven,MS,United States,PC,27-4725908,https://www.guidestar.org/profile/27-4725908,0.0,0.0,0.0
260051181,Mt. Zion Wings of Glory Church of God in Christ Inc.,Milwaukee,WI,United States,PC,26-0051181,https://www.guidestar.org/profile/26-0051181,0.0,0.0,0.0
237304906,Belmont San Mateo Babe Ruth Baseball League,Belmont,CA,United States,PC,23-7304906,https://www.guidestar.org/profile/23-7304906,0.0,0.0,0.0
844621194,Introspective Healing,Aspen,CO,United States,PC,84-4621194,https://www.guidestar.org/profile/84-4621194,0.0,0.0,0.0
742921034,Conservatory Dance Theatre,Austin,TX,United States,PC,74-2921034,https://www.guidestar.org/profile/74-2921034,0.0,0.0,0.0
30280529,The Cue Fund Inc.,Burlington,VT,United States,PC,03-0280529,https://www.guidestar.org/profile/03-0280529,0.0,0.0,0.0
581946632,Atlanta Neighborhood Development Partnership Inc.,Atlanta,GA,United States,PC,58-1946632,https://www.guidestar.org/profile/58-1946632,0.0,0.0,0.0
470855117,The Friends of the Jeudevine Library Inc.,Hardwick,VT,United States,PC,47-0855117,https://www.guidestar.org/profile/47-0855117,0.0,0.0,0.0
822098127,Kupat Givat Hamivtar Inc.,Lawrence,NY,United States,PC,82-2098127,https://www.guidestar.org/profile/82-2098127,0.0,0.0,0.0
464215289,Community Bike Collective,Aptos,CA,United States,PC,46-4215289,https://www.guidestar.org/profile/46-4215289,0.0,0.0,0.0
844170319,Australian Music Alliance Inc.,Los Angeles,CA,United States,PC,84-4170319,https://www.guidestar.org/profile/84-4170319,0.0,0.0,0.0
371502954,Society of Schlors of Zoroastrianism,Hinsdale,IL,United States,PC,37-1502954,https://www.guidestar.org/profile/37-1502954,0.0,0.0,0.0
813547904,His Comforting Touch Ministry,Cincinnati,OH,United States,PC,81-3547904,https://www.guidestar.org/profile/81-3547904,0.0,0.0,0.0
611648572,Providence Recovery Resources,Westbrook,ME,United States,PC,61-1648572,https://www.guidestar.org/profile/61-1648572,0.0,0.0,0.0
237451482,Meals on Wheels of Cheverly Ecf Gladys Spellman Nursing Qtr,Cheverly,MD,United States,PC,23-7451482,https://www.guidestar.org/profile/23-7451482,0.0,0.0,0.0
352211946,Children Having Opportunities in Changing Environments,Washington,DC,United States,PC,35-2211946,https://www.guidestar.org/profile/35-2211946,0.0,0.0,0.0
812763382,Fatheringdotme,Harrisburg,PA,United States,PC,81-2763382,https://www.guidestar.org/profile/81-2763382,0.0,0.0,0.0
743099462,Heart for the Nations,Douglassville,PA,United States,PC,74-3099462,https://www.guidestar.org/profile/74-3099462,0.0,0.0,0.0
834633424,Triad Youth and Event Center,Greensboro,NC,United States,PC,83-4633424,https://www.guidestar.org/profile/83-4633424,0.0,0.0,0.0
943304397,Terra Nova High School Booster Club,Pacifica,CA,United States,PC,94-3304397,https://www.guidestar.org/profile/94-3304397,0.0,0.0,0.0
752034759,Association for Hispanic Classical Theater Inc.,Vermillion,SD,United States,PC,75-2034759,https://www.guidestar.org/profile/75-2034759,0.0,0.0,0.0
814256440,Loving Hands of Jesus Shelter,Davenport,IA,United States,PC,81-4256440,https://www.guidestar.org/profile/81-4256440,0.0,0.0,0.0
300859606,Generation Green Inc.,Newark,NJ,United States,PC,30-0859606,https://www.guidestar.org/profile/30-0859606,0.0,0.0,0.0
825253899,Bedford Concert Band Corporation,Sagamore Hls,OH,United States,PC,82-5253899,https://www.guidestar.org/profile/82-5253899,0.0,0.0,0.0
710549168,Volunteer Council Arkadelphia Human Development Center Inc.,Arkadelphia,AR,United States,PC,71-0549168,https://www.guidestar.org/profile/71-0549168,0.0,0.0,0.0
371836368,A L S Assisted Living Incorporated,Milwaukee,WI,United States,PC,37-1836368,https://www.guidestar.org/profile/37-1836368,0.0,0.0,0.0
46071268,Shirley-Eustis House Association,Roxbury,MA,United States,PC,04-6071268,https://www.guidestar.org/profile/04-6071268,0.0,0.0,0.0
820367425,Bingham Crisis Center for Women Inc.,Blackfoot,ID,United States,PC,82-0367425,https://www.guidestar.org/profile/82-0367425,0.0,0.0,0.0
361884210,Turnverein Eiche Inc.,Tinley Park,IL,United States,PC,36-1884210,https://www.guidestar.org/profile/36-1884210,0.0,0.0,0.0
760695710,Fire for All Nations Inc.,Webster,TX,United States,PC,76-0695710,https://www.guidestar.org/profile/76-0695710,0.0,0.0,0.0
810418961,Lewis and Clark County Genealogical Society,Helena,MT,United States,PC,81-0418961,https://www.guidestar.org/profile/81-0418961,0.0,0.0,0.0
751325064,United Christian Fellowship at Navarro College,Corsicana,TX,United States,PC,75-1325064,https://www.guidestar.org/profile/75-1325064,0.0,0.0,0.0
10829812,Abundant Harvest Missionary Baptist Church,Richton Park,IL,United States,PC,01-0829812,https://www.guidestar.org/profile/01-0829812,0.0,0.0,0.0
824991356,Osb Corp,Longboat Key,FL,United States,PC,82-4991356,https://www.guidestar.org/profile/82-4991356,0.0,0.0,0.0
621092110,Word Teaching Center,Paris,TN,United States,PC,62-1092110,https://www.guidestar.org/profile/62-1092110,0.0,0.0,0.0
270241524,Farmersville Quilt Guild,Farmersville,TX,United States,PC,27-0241524,https://www.guidestar.org/profile/27-0241524,0.0,0.0,0.0
205635357,Barberton Youth Basketball Association,New Franklin,OH,United States,PC,20-5635357,https://www.guidestar.org/profile/20-5635357,0.0,0.0,0.0
900798511,Rural Retreat Depot Foundation Inc.,Rural Retreat,VA,United States,PC,90-0798511,https://www.guidestar.org/profile/90-0798511,0.0,0.0,0.0
474096690,Pipeline Soccer Club Hawaii,Kapolei,HI,United States,PC,47-4096690,https://www.guidestar.org/profile/47-4096690,0.0,0.0,0.0
473834673,Open for Service Inc.,Indianapolis,IN,United States,PC,47-3834673,https://www.guidestar.org/profile/47-3834673,0.0,0.0,0.0
202466103,Project Play School Incorporated,Melrose Park,PA,United States,PC,20-2466103,https://www.guidestar.org/profile/20-2466103,0.0,0.0,0.0
352381008,Harvest Center of Colorado,Hartsel,CO,United States,PC,35-2381008,https://www.guidestar.org/profile/35-2381008,0.0,0.0,0.0
273775715,Whispering Rise Farm and Animal Sanctuary,Freeland,MD,United States,PC,27-3775715,https://www.guidestar.org/profile/27-3775715,0.0,0.0,0.0
43636336,Central Park School for Children,Durham,NC,United States,PC,04-3636336,https://www.guidestar.org/profile/04-3636336,0.0,0.0,0.0
852424131,Harrison Parent Club,Cottage Grove,OR,United States,PC,85-2424131,https://www.guidestar.org/profile/85-2424131,0.0,0.0,0.0
752426010,Methodist Hospital Plainview Texas,Plainview,TX,United States,PC,75-2426010,https://www.guidestar.org/profile/75-2426010,0.0,0.0,0.0
473662057,Gospel Culture Inc.,Wichita Falls,TX,United States,PC,47-3662057,https://www.guidestar.org/profile/47-3662057,0.0,0.0,0.0
231409675,Eastern University,St. Davids,PA,United States,PC,23-1409675,https://www.guidestar.org/profile/23-1409675,0.0,0.0,0.0
